,ACTIVITY DATE,FACILITY ID,FACILITY NAME,PROGRAM STATUS,PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY ZIP,SCORE,GRADE
180976,2018-07-17,FA0166854,EL TEQUILENSE,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,9126 TELEGRAPH RD,DOWNEY,90240,94,A
198269,2018-09-25,FA0058219,BERRYSTAR,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,39341 10TH ST W # C,PALMDALE,93551,92,A
197097,2018-09-19,FA0225142,SEAFOOD EXPRESS LA,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,2122 BEVERLY BLVD,LOS ANGELES,90057,91,A
195507,2018-09-13,FA0028368,PHO ROWLAND,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,18910 GALE AVE STE A,ROWLAND HEIGHTS,91748,93,A
188692,2018-08-15,FA0030460,JINO'S PARS,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,5844 W MANCHESTER AVE,LOS ANGELES,90045,91,A
188742,2018-08-15,FA0023696,MARIE CALLENDER'S PIE SHOP,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,7860 E FLORENCE AVE,DOWNEY,90241,94,A
190180,2018-08-22,FA0019252,DK DONER KING,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,22349 SHERMAN WAY,CANOGA PARK,91303,95,A
158112,2018-04-11,FA0226479,C.C BBQ & SUSHI INC,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,1006 E AVENUE J,LANCASTER,93535,98,A
195005,2018-09-12,FA0035895,LOS TRES HERMANOS,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,7456 VAN NUYS BLVD,VAN NUYS,91405,90,A
178075,2018-06-30,FA0008815,BEL AIR BAY CLUB-UPPER CLUB,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,16801 PACIFIC COAST HWY,PACIFIC PALISADES,90272,93,A
196953,2018-09-19,FA0020490,LA BARCA JALISCO,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,10817 VALLEY MALL,EL MONTE,91731,97,A
195270,2018-09-13,FA0221693,BLU20,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,600 WORLD WAY,LOS ANGELES,90045,90,A
190027,2018-08-21,FA0069551,RIGOS TACOS,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,20154 SATICOY ST,WINNETKA,91306,97,A
188311,2018-08-14,FA0067269,MR CHURRO BAKERY,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,849 N ALAMEDA ST # #E112,LOS ANGELES,90012,94,A
132614,2017-12-13,FA0061308,EDWARDS MOVIE THEATERS WEST COVINA 18,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,1200 LAKES DR,WEST COVINA,91790,99,A
172342,2018-06-07,FA0003174,21 PIZZA,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,10678 BALBOA BLVD,GRANADA HILLS,91344,95,A
178954,2018-07-09,FA0022888,LOTERIA GRILL HOLLYWOOD,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,6627 HOLLYWOOD BLVD,LOS ANGELES,90028,98,A
198120,2018-09-24,FA0027662,PANERA BREAD,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,43458 W 10TH ST W,LANCASTER,93534,96,A
175792,2018-06-20,FA0040028,VIVOLI CAFE & TRATTORIA,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,7994 W SUNSET BLVD,LOS ANGELES,90046,90,A
175393,2018-06-20,FA0243637,BB'S CAFE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,502 N CITRUS AVE,COVINA,91723,97,A
196837,2018-09-19,FA0171321,EAGLE ROCK NOODLE AND GRILL,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,7315 N FIGUEROA ST # 103,LOS ANGELES,90041,93,A
182237,2018-07-20,FA0013318,CARROW'S,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,815 FREMONT AVE,SOUTH PASADENA,91030,94,A
194362,2018-09-11,FA0012529,CALIFORNIA WOK,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,8520 W 3RD ST,LOS ANGELES,90048,90,A
191640,2018-08-28,FA0048505,SPROUTS FARMER MARKET,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,835 W FOOTHILL BLVD,CLAREMONT,91711,88,B
171499,2018-06-05,FA0242921,CROWNE PLAZA LA HARBOR HOTEL,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,601 S PALOS VERDES ST,SAN PEDRO,90731,90,A
195863,2018-09-14,FA0203658,TIERRA MIA COFFEE COMPANY,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,11004 ATLANTIC AVE,LYNWOOD,90262-3002,100,A
177843,2018-06-28,FA0051770,THE COFFEE BEAN & TEA LEAF,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,8793 W BEVERLY BLVD,WEST HOLLYWOOD,90048,90,A
161231,2018-04-23,FA0030523,RICE GARDEN,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,505 S FLOWER ST # #B270,LOS ANGELES,90071,93,A
170407,2018-05-30,FA0029729,J TRANI'S,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,584 W 9TH ST,SAN PEDRO,90731,94,A
150051,2018-03-07,FA0010733,BREWCO,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,124 MANHATTAN BEACH BLVD,MANHATTAN BEACH,90266,91,A
98865,2017-06-30,FA0029253,IMPROV OLYMPIC,ACTIVE,RESTAURANT (61-150) SEATS LOW RISK,6366 HOLLYWOOD BLVD,LOS ANGELES,90028,92,A
187443,2018-08-09,FA0176647,LOS CIPOTES,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,2520 E PALMDALE BLVD # K9-10,PALMDALE,93550-4914,96,A
189217,2018-08-16,FA0248389,POTATO & TEA,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,2968 HUNTINGTON DR,SAN MARINO,91108,90,A
185114,2018-08-01,FA0024474,FRUTIBIONICOS,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,6750 PASSONS BLVD,PICO RIVERA,90660,94,A
178436,2018-07-05,FA0056947,A &T BURGERS,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,9401 S AVALON BLVD,LOS ANGELES,90003,94,A
195975,2018-09-17,FA0014441,FRUIT GALERY,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,1 WESTMINSTER AVE,VENICE,90291,97,A
198324,2018-09-25,FA0015752,COCO ICHIBANYA,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,12007 WILSHIRE BLVD,LOS ANGELES,90025,90,A
174979,2018-06-19,FA0007314,ASANEBO,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,11941 VENTURA BLVD,STUDIO CITY,91604,94,A
177166,2018-06-26,FA0038566,TRIMANA GRILL,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,21600 OXNARD ST STE 130,WOODLAND HILLS,91367,97,A
163812,2018-05-02,FA0252028,MUL DAE PO,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,808 S WESTERN AVE # 207,LOS ANGELES,90005-3301,94,A
196793,2018-09-19,FA0014601,CHINA GREAT BUFFET,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,11860 E VALLEY BLVD,EL MONTE,91732,90,A
172747,2018-06-07,FA0041905,YUMMY FOODS,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,1308 PICO BLVD,SANTA MONICA,90405,94,A
178076,2018-06-30,FA0007681,CARL'S JR,ACTIVE,RESTAURANT (61-150) SEATS MODERATE RISK,573 N AZUSA AVE,COVINA,91722,95,A
178198,2018-07-02,FA0156621,SUBWAY,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,10601 VALLEY BLVD #B,EL MONTE,91731,96,A
197160,2018-09-19,FA0023269,THE FLAME BROILER,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,1500 CANADA BLVD # A,GLENDALE,91208,95,A
153532,2018-03-21,FA0248252,SUBWAY 5763,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,2321 E AVE S STE E-1,PALMDALE,93550,99,A
197039,2018-09-19,FA0158207,PAN E VINO,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,143 CITRUS AVE,COVINA,91723,93,A
193878,2018-09-07,FA0012844,CANTON KITCHEN,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,402 W MANCHESTER BLVD,INGLEWOOD,90301,92,A
196243,2018-09-18,FA0143629,CAFE CUBA & CAKES,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,12215 S HAWTHORNE BLVD,HAWTHORNE,90250,87,B
178516,2018-07-05,FA0177796,FANTASTIC BURGER GRILL,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,16480 NORWALK BLVD,CERRITOS,90703,90,A
199426,2018-09-27,FA0251897,DOMINO'S PIZZA,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,20905 ROSCOE BLVD,CANOGA PARK,91304-4309,96,A
173044,2018-06-11,FA0203661,EL DELFIN RESTAURANT,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,1800 S CENTRAL AVE,LOS ANGELES,90021,90,A
199611,2018-09-27,FA0245983,OKANE UMI,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,2439 PACIFIC COAST HWY,LOMITA,90717-2301,82,B
193862,2018-09-07,FA0166647,BETTOLINO,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,211 PALOS VERDES BLVD,REDONDO BEACH,90277-5820,96,A
197132,2018-09-19,FA0165419,SUMMER BUFFALO,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,449 S GLENOAKS BLVD,BURBANK,91505,93,A
190669,2018-08-23,FA0263286,PHO OH NGON,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,1831 N HACIENDA BLVD,LA PUENTE,91744,96,A
181466,2018-07-18,FA0252680,EAST GARDEN,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,750 N HILL ST STE F,LOS ANGELES,90012-2383,91,A
186963,2018-08-08,FA0020214,KOGI TERIYAKI,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,7801 E TELEGRAPH RD STE #Q,MONTEBELLO,90640,92,A
199456,2018-09-27,FA0062002,FATBURGER,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,7450 SANTA MONICA BLVD,WEST HOLLYWOOD,90046,92,A
180010,2018-07-12,FA0164509,AUSSIE PIE KTICHEN,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,2510 MAIN ST #B,SANTA MONICA,90405-3583,91,A
178208,2018-07-02,FA0166638,TAVOUS KITCHEN,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,4433 ALAMEDA ST # D-54,LOS ANGELES,90058,94,A
153847,2018-03-22,FA0247723,L.A. CAFE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,639 S SPRING ST # 2B,LOS ANGELES,90014,94,A
173603,2018-06-12,FA0048254,SHAKEY'S PIZZA,ACTIVE,RESTAURANT (151 + ) SEATS MODERATE RISK,2234 W VALLEY BLVD,ALHAMBRA,91803,98,A
197201,2018-09-19,FA0040639,WESTERN BAGEL TOO,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,21749 VENTURA BLVD,WOODLAND HILLS,91364,95,A
197357,2018-09-20,FA0250286,HAE HA HENG THAI BISTRO,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,301 S WESTERN AVE 209,LOS ANGELES,90020,96,A
193935,2018-09-07,FA0033837,L&L HAWAIIAN BARBECUE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,1821 S CATALINA AVE,REDONDO BEACH,90277,91,A
121275,2017-10-23,FA0018719,NORTHRIDGE HOSPITAL MEDICAL CENTER,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,18300 ROSCOE BLVD,NORTHRIDGE,91328,98,A
159616,2018-04-17,FA0020722,EL CURTIDO,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,16048 GALE AVE,HACIENDA HEIGHTS,91745,95,A
187614,2018-08-09,FA0179996,TOUS LES JOURS,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,450 S WESTERN AVE # 103,LOS ANGELES,90020,91,A
167746,2018-05-16,FA0248817,VILLAGE BAKERY,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,7534 LAUREL CYN,NORTH HOLLYWOOD,91605,90,A
157535,2018-04-09,FA0068857,POLLY'S PIES,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,1322 W BEVERLY BLVD,MONTEBELLO,90640,96,A
177798,2018-06-28,FA0222310,PREMIER CATERING,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,2700 N VERMONT AVE,LOS ANGELES,90027,92,A
173924,2018-06-13,FA0019341,JUDI'S DELI,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,8631 W 3RD ST STE 305,LOS ANGELES,90048,90,A
192097,2018-08-29,FA0171943,SAZON K-TRACHO,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,4181 S FIGUEROA ST,LOS ANGELES,90037,97,A
177127,2018-06-26,FA0242103,TERRACOTTA,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,3760 WILSHIRE BLVD,LOS ANGELES,90010,94,A
190538,2018-08-23,FA0037629,FRESCO RESTAURANT,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,2627 N HOLLYWOOD WAY,BURBANK,91505,95,A
187519,2018-08-09,FA0166360,POTS N WOKS,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,11213 WASHINGTON BLVD,WHITTIER,90606-3111,85,B
187299,2018-08-09,FA0177623,CABO TACOS,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,853 E ROUTE 66,GLENDORA,91740,91,A
122950,2017-10-27,FA0037660,THE SALVATION ARMY,ACTIVE,RESTAURANT (61-150) SEATS LOW RISK,14917 VICTORY BLVD,VAN NUYS,91405,98,A
192412,2018-08-30,FA0024697,MI CASITA,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,8069 FOOTHILL BLVD,SUNLAND,91040,93,A
169803,2018-05-25,FA0171472,TAQUERIA EL DIABLO,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,630 S MYRTLE AVE,MONROVIA,91016,87,B
191656,2018-08-28,FA0176131,SUGARFISH BY SUSHI NOZAWA,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,6115 W SUNSET BLVD # 170,LOS ANGELES,90028-6423,99,A
181513,2018-07-18,FA0160450,GREENBELT,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,36 PIER AVE,HERMOSA BEACH,90254,92,A
195518,2018-09-13,FA0068896,POPEYES CHICKEN,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,23434 LYONS AVE,NEWHALL,91321,100,A
171011,2018-06-01,FA0012819,CANDILESAS RESTAURANT,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,7505 SAN FERNANDO RD,BURBANK,91501,92,A
179889,2018-07-11,FA0071133,SUBMARINER,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,4562 S CENTINELA AVE,LOS ANGELES,90066,93,A
190213,2018-08-22,FA0243298,FARMER BOYS HOLLYWOOD,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,5519 HOLLYWOOD BLVD,LOS ANGELES,90028,97,A
178766,2018-07-06,FA0038815,MARISCOS MARIA,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,5640 W ADAMS BLVD,LOS ANGELES,90016,95,A
198556,2018-09-25,FA0042855,OASIS SALOON,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,4254 PECK RD,EL MONTE,91732,92,A
163290,2018-05-01,FA0050680,LORDSBURG TAPHOUSE & GRILL,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,2335 D ST,LA VERNE,91750,95,A
183542,2018-07-25,FA0036974,MALO LLC,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,4326 W SUNSET BLVD,LOS ANGELES,90029,85,B
148981,2018-03-01,FA0225806,LA MICHOACANA TRADICIONAL,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,716 E ARROW HWY,POMONA,91767,95,A
187701,2018-08-10,FA0251233,GREEN LEAF @ USC,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,929 W JEFFERSON BLVD # 1500,LOS ANGELES,90089,98,A
192164,2018-08-29,FA0037378,THE HUMMNS BAR & GRILL,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,18743 VENTURA BLVD,TARZANA,91356,94,A
146680,2018-02-20,FA0051986,TINY'S SUBMARINE SANDWICHES,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,27251 CAMP PLENTY RD,CANYON COUNTRY,91351,98,A
108659,2017-08-17,FA0224013,SAO ACAI,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,8850 WASHINGTON BLVD,CULVER CITY,90232-2366,94,A
183997,2018-07-26,FA0245182,LA MICHOACANA,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,11128 LONG BEACH BLVD,LYNWOOD,90262,91,A
196869,2018-09-19,FA0163747,FIESTA MEXICANA EL PAISANO,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,5547 SANTA MONICA BLVD,LOS ANGELES,90038,91,A
198073,2018-09-24,FA0241574,LOTERIA GRILL SPACE 7C,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,700 WORLD WAY,LOS ANGELES,90045,93,A
158199,2018-04-11,FA0164918,FRUITOPIA,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,1347 S AZUSA AVE STE F,WEST COVINA,91791-3965,93,A
199668,2018-09-27,FA0047103,RUBIO'S FRESH MEXICAN GRILL,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,19500 PLUMMER ST UNIT B3,NORTHRIDGE,91324,99,A
189169,2018-08-16,FA0066331,MANNY'S PIZZERIA & CAFE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,651 N SEPULVEDA BLVD STE #1C,LOS ANGELES,90049,91,A
181823,2018-07-19,FA0251220,AZUSA DONUTS,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,621 E ARROW HWY,AZUSA,91702,93,A
183878,2018-07-26,FA0016165,COLE'S,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,118 E 6TH ST,LOS ANGELES,90014,96,A
188456,2018-08-14,FA0051937,THREE BROTHERS BURGERS,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,23722 S WESTERN AVE,HARBOR CITY,90710,91,A
170237,2018-05-29,FA0247955,THE CREPERY CAFE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,810 SILVER SPUR RD,ROLLING HILLS ESTATES,90274-3801,80,B
120459,2017-10-18,FA0244766,PANDA WOK,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,2225 W ROSECRANS AVE,GARDENA,90249,82,B
195052,2018-09-12,FA0042997,OHANA HAWAIIAN BBQ,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,4469 SLAUSON AVE,MAYWOOD,90270,96,A
185187,2018-08-01,FA0065867,LOEW'S HOTEL LOBBY BAR,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,1700 OCEAN AVE,SANTA MONICA,90401,90,A
187205,2018-08-08,FA0239284,TOASTED BUN,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,1013 S BRAND BLVD,GLENDALE,91204,90,A
181228,2018-07-17,FA0242601,SHEKARCHI KABOB,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,2029 WESTWOOD BLVD,LOS ANGELES,90025,94,A
88228,2017-05-11,FA0245823,AVENUE NIGHTCLUB LOS ANGELES,ACTIVE,RESTAURANT (151 + ) SEATS LOW RISK,1601 N CAHUENGA BLVD,LOS ANGELES,90028,98,A
179906,2018-07-11,FA0249833,TACOS TU MADRE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,203 N LARCHMONT BLVD,LOS ANGELES,90004,90,A
175965,2018-06-21,FA0169909,JERSEY MIKE'S SUBS,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,912 N WESTERN AVE,SAN PEDRO,90732,96,A
105080,2017-08-02,FA0160746,ARTESIA BAR,ACTIVE,RESTAURANT (31-60) SEATS LOW RISK,1995 ARTESIA BLVD,REDONDO BEACH,90278,95,A
196388,2018-09-18,FA0030155,IN'S ORIGINAL BBQ PIT HOUSE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,1180 N WHITE AVE,POMONA,91768,96,A
188349,2018-08-14,FA0029350,QUICKIES PIZZA,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,4362 LAUREL CANYON BLVD,STUDIO CITY,91604,90,A
192651,2018-08-31,FA0261821,MAXIMOS PIZZA,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,4157 LONG BEACH AVE,LOS ANGELES,90058,95,A
191847,2018-08-29,FA0262272,D'TOCHO MOROCHO,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,3100 E IMPERIAL HWY # M-3,LYNWOOD,90262,93,A
190518,2018-08-23,FA0011994,EDDIE'S MEXICAN FOOD,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,11237 E WHITTIER BLVD,WHITTIER,90601,93,A
109181,2017-08-22,FA0022169,ETORNA RESTAURANT,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,4661 LAKEVIEW CANYON RD,WESTLAKE VILLAGE,91362,95,A
156562,2018-04-04,FA0044672,PIZZA BOY,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,1321 E COLORADO ST STE #C,GLENDALE,91205,91,A
134583,2017-12-20,FA0009558,THE COFFEE BEAN & TEA LEAF,ACTIVE,RESTAURANT (31-60) SEATS LOW RISK,8328 WILSHIRE BLVD,BEVERLY HILLS,90211,94,A
193262,2018-09-05,FA0020994,LA MODERNA BAKERY,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,8035 1/2 S NORWALK BLVD,WHITTIER,90606,93,A
181906,2018-07-19,FA0058666,ELABREW COFFEE,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,2425 COLORADO AVE # B118,SANTA MONICA,90404,92,A
193650,2018-09-06,FA0064635,KABUKI JAPANESE RESTAURANT,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,1545 N VINE ST,LOS ANGELES,90028,90,A
182543,2018-07-23,FA0174412,KFC,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,20101 SHERMAN WAY,CANOGA PARK,91306,93,A
181607,2018-07-18,FA0222364,MY THAI RESTAURANT,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,3407 W 6TH ST # 100C,LOS ANGELES,90020,90,A
194075,2018-09-10,FA0170186,CASA JIMENEZ RESTAURANT,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,15844 GALE AVE,HACIENDA HEIGHTS,91745,91,A
199438,2018-09-27,FA0159933,EL BURRITO LOCO,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,3030 E PALMDALE BLVD B,PALMDALE,93550,93,A
118106,2017-10-05,FA0050891,TEE UP RESTAURANT & BAR,ACTIVE,RESTAURANT (61-150) SEATS LOW RISK,404 S FIGUEROA ST # 108,LOS ANGELES,90071,90,A
182589,2018-07-23,FA0245012,MR. SATE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,3456 MOTOR AVE # 104,LOS ANGELES,90034,90,A
187598,2018-08-09,FA0179995,THE COFFEE BEAN & TEA LEAF,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,450 S WESTERN AVE,LOS ANGELES,90020,96,A
193062,2018-09-04,FA0172024,TOWN KITCHEN AND GRILL,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,2276 HONOLULU AVE,MONTROSE,91020,92,A
183234,2018-07-24,FA0073186,V CAFE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,8164 MELROSE AVE,LOS ANGELES,90046,94,A
178137,2018-07-02,FA0156539,HUNAN SPICY TASTE,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,120 N SAN GABRIEL BLVD STE C&D,SAN GABRIEL,91775,90,A
196354,2018-09-18,FA0245258,GLOBAL THEATER,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,740 S BROADWAY AVE,LOS ANGELES,90014,97,A
190330,2018-08-22,FA0259068,RAMEN JINYA,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,700 WILSHIRE BLVD,LOS ANGELES,90017,87,B
198627,2018-09-25,FA0252588,ROCA FUERTE RESTAURANTE SALVADORENO,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,7448 RESEDA BLVD,RESEDA,91335,91,A
162009,2018-04-25,FA0242007,MI PATRIA RESTAURANT,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,9425 TELEGRAPH RD STE 108,PICO RIVERA,90660-5552,96,A
175176,2018-06-19,FA0041024,MJ CAFE & TEAHOUSE,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,17521 COLIMA RD,INDUSTRY,91748,90,A
135602,2017-12-28,FA0224714,CAFE NIEVE,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,8401 VAN NUYS BLVD # K109,PANORAMA CITY,91402,90,A
171787,2018-06-05,FA0246001,TEA MASTER,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,450 E 2ND ST,LOS ANGELES,90012,96,A
184842,2018-07-31,FA0067572,NICCOLO'S HILLSIDE PIZZA,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,29113 S WESTERN AVE,RANCHO PALOS VERDES,90275,90,A
115227,2017-09-21,FA0026935,GROUNDWORK COFFEE CO.,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,3 WESTMINSTER AVE,VENICE,90291,94,A
159732,2018-04-17,FA0257585,LA MICHOACANA PLUS ICE CREAM,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,7130 PACIFIC BLVD,HUNTINGTON PARK,90255-4788,96,A
193558,2018-09-06,FA0015469,CIRCLE K DONUTS,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,12531 S LONG BEACH BLVD,LYNWOOD,90262,90,A
188270,2018-08-14,FA0021524,LAS ISLAS MARIA,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,6909 SANTA FE AVE,HUNTINGTON PARK,90255,91,A
152813,2018-03-20,FA0251535,FRED SEGAL CAFE BY TARTINE,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,8500 W SUNSET BLVD STE 101,WEST HOLLYWOOD,90069-2310,93,A
155783,2018-04-02,FA0061048,DONUT FACTORY,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,2225 N SAN FERNANDO RD,LOS ANGELES,90065,90,A
180385,2018-07-12,FA0257121,WINGS 101,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,510 W COMPTON BLVD,COMPTON,90220,94,A
198471,2018-09-25,FA0256857,LA CHIQUITA MEXICANA RESTAURANT,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,5455 N FIGUEROA ST,LOS ANGELES,90042,94,A
192100,2018-08-29,FA0241979,SHARKIE POKE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,730 S MYRTLE AVE,MONROVIA,91016,97,A
