,ACTIVITY DATE,FACILITY ID,FACILITY NAME,PROGRAM STATUS,PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY ZIP,SCORE,GRADE
180231,2018-07-12,FA0068789,PLAN B,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,11637 W PICO BLVD,LOS ANGELES,90064,92,A
170943,2018-05-31,FA0051786,THE T ROOM,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,2405 HONOLULU AVE,MONTROSE,91020,96,A
104841,2017-08-01,FA0027251,HAAGEN-DAZS,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,668 AMERICANA WAY # FP-5,GLENDALE,91210,90,A
172235,2018-06-06,FA0034932,SUBWAY,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,16289 S PARAMOUNT BLVD,PARAMOUNT,90723,95,A
175641,2018-06-20,FA0067647,NONNA'S EMPANADAS,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,8570 W 3RD ST,LOS ANGELES,90048,91,A
159606,2018-04-17,FA0223946,EAGLE FAST  FOOD,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,16147 NORDHOFF ST,NORTH HILLS,91343,96,A
193394,2018-09-05,FA0175277,SHERATON AGOURA HILLS HOTEL,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,30100 AGOURA RD,AGOURA HILLS,91301,95,A
175426,2018-06-20,FA0165686,CENTER COFFEE @ CENTER CHURCH,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,10452 LOUISE AVE,GRANADA HILLS,91344,97,A
159133,2018-04-13,FA0046077,ROCKIES FROZEN YOGURT,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,14748 E WHITTIER BLVD STE #F,WHITTIER,90605,99,A
173282,2018-06-12,FA0009634,BIG JIM'S DONUTS,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,2401 E WHITTIER BLVD,LOS ANGELES,90023,88,B
185350,2018-08-01,FA0051940,THREE FLAMES MONGOLIAN BBQ,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,5608 W MANCHESTER AVE,LOS ANGELES,90045,95,A
178708,2018-07-06,FA0008272,BANGLA BAZAR AND RESTAURANT,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,4205 1/2 W 3RD ST,LOS ANGELES,90020,92,A
198937,2018-09-26,FA0264099,EL PARAISO BAKERY,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,3857 WHITTIER BLVD STE A,LOS ANGELES,90023-2432,90,A
184472,2018-07-30,FA0030599,J&J FAST FOOD,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,336 W ALONDRA BLVD,COMPTON,90220,95,A
174805,2018-06-18,FA0261097,KLATCH COFFEE,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,306 S PACIFIC COAST HWY # A,REDONDO BEACH,90277,95,A
184582,2018-07-30,FA0071766,TACOS LA NINA,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,4427 S AVALON BLVD,LOS ANGELES,90011,92,A
190394,2018-08-22,FA0072294,THE GREAT AMERICAN GRILL & B,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,2005 N HIGHLAND AVE,LOS ANGELES,90068,91,A
165741,2018-05-09,FA0203002,RAKU TERIYAKI,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,8945 DE SOTO AVE,CANOGA PARK,91304,94,A
195702,2018-09-14,FA0141223,CAFE 76,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,1660 W ANAHEIM ST,WILMINGTON,90744-2304,90,A
188713,2018-08-15,FA0158018,KREATION JUICERY INC,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,503 MAIN ST,EL SEGUNDO,90245,90,A
165677,2018-05-09,FA0039644,MCDONALD'S RESTAURANT,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,988 W SLAUSON AVE,LOS ANGELES,90044-5527,98,A
163289,2018-05-01,FA0035569,LONZO'S BREAD CO,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,10804 WASHINGTON BLVD,CULVER CITY,90232,90,A
178110,2018-07-02,FA0010271,BOBA TIME,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,701 S VERMONT AVE,LOS ANGELES,90005,91,A
197653,2018-09-20,FA0054960,WIN'S DONUT HOUSE,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,132 E AVENUE J,LANCASTER,93534,97,A
192161,2018-08-29,FA0051893,THE DONUT PALACE,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,20149 S PIONEER BLVD,LAKEWOOD,90715,93,A
159103,2018-04-13,FA0040957,MYUNG DONG KYO JA,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,3630 WILSHIRE BLVD,LOS ANGELES,90010,94,A
197198,2018-09-19,FA0054624,WALKERS CAFE,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,700 S PASEO DEL MAR,SAN PEDRO,90731,90,A
131611,2017-12-08,FA0003226,FOUR SEASONS SNACK BAR,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,2736 W PICO BLVD,LOS ANGELES,90006,73,C
194497,2018-09-11,FA0019353,JUICE STOP-LA MIRADA,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,15002 E LA MIRADA BLVD,LA MIRADA,90638,96,A
133872,2017-12-19,FA0012962,CARAMBAS,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,9056 E WHITTIER BLVD,PICO RIVERA,90660,97,A
146762,2018-02-21,FA0004398,ASIANYA,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,11660 GATEWAY BLVD,LOS ANGELES,90064,94,A
176138,2018-06-21,FA0255268,THE ROOF ON WILSHIRE,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,6317 WILSHIRE BLVD,LOS ANGELES,90048,90,A
180189,2018-07-12,FA0245134,MOON MART KABOB,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,400 S GLENDALE AVE STE A,GLENDALE,91205,94,A
197176,2018-09-19,FA0052806,TOM'S SUPER BURGER,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,555 E ALONDRA BLVD,GARDENA,90248,90,A
188452,2018-08-14,FA0052316,THE SANDWICH MAN,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,20456 NORDHOFF ST,CHATSWORTH,91311,98,A
195095,2018-09-12,FA0261283,RASPADOS XPRESS,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,5150 FLORENCE AVE UNIT D,BELL,90201,92,A
142792,2018-02-02,FA0248560,BRENTWOOD PIES LLC,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,11678 SAN VICENTE BLVD,LOS ANGELES,90049,96,A
186674,2018-08-07,FA0038004,TOGOS EATERY,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,3462 WILSHIRE BLVD,LOS ANGELES,90010,94,A
178096,2018-06-30,FA0165997,THE LAKE HOUSE,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,6331 WOODLEY AVE,VAN NUYS,91406,100,A
184548,2018-07-30,FA0179724,PHO HONG LONG,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,15709 CRENSHAW BLVD # A,GARDENA,90249,90,A
169423,2018-05-24,FA0034158,LA CORONA BAKERY,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,15708 1/4 PIONEER BLVD,NORWALK,90650,97,A
187815,2018-08-13,FA0010533,BOILING POINT,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,206 S 1ST AVE,ARCADIA,91006,97,A
194253,2018-09-10,FA0138595,THE ASIAN PROJECT,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,1001 N SAN FERNANDO BLVD,BURBANK,91504,97,A
